"date","value_gc"
"2/1/2013","447841"
"3/1/2013","345118"
"4/1/2013","404664"
"5/1/2013","197054"
"6/1/2013","78803"
"7/1/2013","75176"
"8/1/2013","76976"
"9/1/2013","69035"
"10/1/2013","84147"
"11/1/2013","237712"
"12/1/2013","277366"
"1/1/2014","365245"
"2/1/2014","450443"
"3/1/2014","338682"
"4/1/2014","286231"
"5/1/2014","148922"
"6/1/2014","78078"
"7/1/2014","74714"
"8/1/2014","68786"
"9/1/2014","66915"
"10/1/2014","76583"
"11/1/2014","172468"
"12/1/2014","324016"
"1/1/2015","383391"
"2/1/2015","371200"
"3/1/2015","332647"
"4/1/2015","297546"
"5/1/2015","182674"
"6/1/2015","77106"
"7/1/2015","75829"
"8/1/2015","70887"
"9/1/2015","61664"
"10/1/2015","77171"
"11/1/2015","240159"
"12/1/2015","287571"
"1/1/2016","332550"
"2/1/2016","452135"
"3/1/2016","312136"
"4/1/2016","315297"
"5/1/2016","119793"
"6/1/2016","76901"
"7/1/2016","69524"
"8/1/2016","70191"
"9/1/2016","66153"
"10/1/2016","77849"
"11/1/2016","243056"
"12/1/2016","324951"
"1/1/2017","390697"
"2/1/2017","457140"
"3/1/2017","374340"
"4/1/2017","287841"
"5/1/2017","205476"
"6/1/2017","87497"
"7/1/2017","74562"
"8/1/2017","74465"
"9/1/2017","67833"
"10/1/2017","82856"
"11/1/2017","216644"
"12/1/2017","305763"
"1/1/2018","352206"
"2/1/2018","400831"
"3/1/2018","392973"
"4/1/2018","386414"
"5/1/2018","131212"
"6/1/2018","71498"
"7/1/2018","67650"
"8/1/2018","68132"
"9/1/2018","61331"
"10/1/2018","74415"
"11/1/2018","209497"
"12/1/2018","324119"
"1/1/2019","392743"
"2/1/2019","449741"
"3/1/2019","324643"
"4/1/2019","312531"
"5/1/2019","185087"
"6/1/2019","74504"
"7/1/2019","64941"
"8/1/2019","69883"
"9/1/2019","63969"
"10/1/2019","79189"
"11/1/2019","197665"
"12/1/2019","290782"
"1/1/2020","357150"
"2/1/2020","370400"
"3/1/2020","328680"
"4/1/2020","317432"
"5/1/2020","235694"
"6/1/2020","89057"
"7/1/2020","62381"
"8/1/2020","71366"
"9/1/2020","66190"
"10/1/2020","75246"
"11/1/2020","370400"
"12/1/2020","300078"
"1/1/2021","385237"
"2/1/2021","434583"
"3/1/2021","420433"
"4/1/2021","358803"
"5/1/2021","262371"
"6/1/2021","79981"
"7/1/2021","67927"
"8/1/2021","63789"
"9/1/2021","64922"
"10/1/2021","114219"
"11/1/2021","268641"
"12/1/2021","307229"
